8, 14, 5
8, 13, 5
8, 14, 5
8, 14, 6
9, 14, 4
8, 15, 6
9, 14, 6
10, 15, 6
7, 14, 5
7, 13, 4
8, 13, 5
9, 12, 3
9, 13, 6
10, 16, 6
9, 16, 6
8, 13, 4
8, 12, 4
11, 16, 6
9, 14, 5
7, 10, 4
10, 16, 5
9, 15, 5
8, 14, 5
9, 14, 5
9, 15, 5
9, 15, 5
6, 14, 4
9, 15, 6
8, 14, 5
9, 15, 6
9, 14, 5
10, 15, 6
9, 13, 6
4, 16, 6
7, 15, 5
9, 14, 5
10, 16, 5
9, 15, 5
7, 13, 4
10, 16, 6
9, 15, 6
9, 15, 5
10, 15, 5
9, 14, 4
8, 14, 4
7, 14, 5
9, 15, 5
8, 14, 5
10, 16, 5
9, 15, 5
7, 12, 5
10, 15, 8
11, 15, 7
9, 14, 5
8, 13, 5
9, 15, 7
7, 14, 5
9, 14, 5
10, 15, 7
7, 13, 5
9, 14, 5
7, 14, 6
9, 15, 4
10, 14, 4
7, 13, 4
8, 14, 6
7, 13, 4
6, 14, 5
10, 15, 6
8, 13, 5
10, 15, 5
10, 15, 5
8, 14, 4
7, 13, 5
7, 13, 5
10, 14, 5
8, 15, 6
6, 13, 2
8, 14, 5
9, 12, 4
9, 16, 4
8, 13, 3
7, 13, 4
10, 16, 7
10, 15, 7
9, 15, 6
9, 16, 6
10, 15, 7
7, 13, 5
8, 14, 5
9, 15, 5
8, 15, 5
9, 15, 6
7, 13, 4
9, 15, 7
9, 16, 7
9, 14, 4
10, 15, 6
9, 14, 5
8, 14, 5
9, 16, 6
8, 14, 5
10, 13, 7
9, 15, 5
7, 14, 4
7, 13, 4
10, 15, 6
7, 13, 4
10, 15, 5
9, 16, 7
7, 15, 4
8, 12, 4
9, 13, 4
10, 13, 6
7, 13, 4
8, 13, 4
7, 14, 4
8, 16, 6
10, 15, 6
10, 14, 6
10, 13, 9
7, 12, 4
9, 15, 6
6, 16, 4
8, 14, 5
8, 13, 4
9, 15, 4
7, 14, 5
8, 14, 5
7, 13, 4
8, 14, 6
11, 16, 6
8, 13, 4
7, 16, 3
7, 14, 5
6, 13, 2
9, 15, 3
9, 14, 6
8, 14, 5
7, 13, 5
9, 14, 5
10, 15, 6
8, 13, 5
8, 13, 4
11, 16, 6
10, 16, 6
10, 15, 7
8, 13, 4
8, 14, 5
7, 13, 3
7, 13, 4
9, 14, 4
9, 15, 8
9, 14, 4
9, 16, 6
8, 13, 4
9, 15, 6
9, 14, 5
8, 14, 6
8, 14, 5
9, 14, 4
7, 13, 4
9, 16, 4
8, 13, 4
8, 14, 6
7, 13, 4
8, 15, 6
9, 14, 3
8, 14, 1
8, 15, 5
10, 16, 6
10, 15, 7
6, 14, 5
9, 15, 5
8, 13, 4
9, 14, 5
8, 17, 5
9, 16, 6
7, 12, 3
10, 15, 5
6, 13, 4
8, 15, 6
6, 13, 0
9, 15, 5
8, 14, 5
9, 15, 6
9, 15, 5
10, 15, 7
10, 16, 5
8, 15, 5
8, 15, 6
7, 13, 4
10, 16, 6
9, 15, 6
9, 15, 5
7, 13, 5
7, 13, 5
7, 13, 5
10, 14, 6
12, 15, 7
