0, 0, 0
7, 36, 13
6, 35, 14
7, 35, 12
6, 33, 12
5, 33, 11
7, 35, 13
5, 33, 12
6, 33, 12
7, 34, 12
9, 34, 15
5, 34, 13
8, 33, 13
8, 36, 14
7, 35, 13
5, 34, 13
8, 35, 13
8, 36, 14
5, 34, 14
7, 34, 13
7, 37, 12
4, 33, 11
7, 34, 11
8, 36, 14
6, 36, 13
6, 32, 12
8, 36, 15
6, 35, 14
5, 33, 13
5, 32, 14
9, 36, 14
7, 34, 12
10, 35, 13
6, 32, 11
6, 32, 12
6, 34, 14
7, 36, 14
6, 33, 12
7, 34, 12
7, 30, 11
6, 35, 14
6, 33, 11
7, 34, 14
8, 35, 12
9, 31, 19
7, 34, 14
8, 34, 12
9, 36, 14
5, 33, 13
5, 32, 12
8, 36, 14
7, 34, 13
7, 33, 13
7, 35, 14
9, 33, 13
5, 35, 15
5, 34, 12
6, 32, 12
6, 34, 12
5, 32, 11
7, 33, 13
5, 33, 12
5, 33, 12
5, 32, 12
9, 36, 15
6, 35, 14
8, 35, 15
6, 33, 12
6, 36, 13
5, 32, 11
6, 33, 11
5, 33, 12
7, 31, 15
8, 35, 13
7, 34, 14
8, 36, 15
9, 37, 16
6, 34, 13
7, 33, 12
7, 35, 14
7, 34, 13
7, 35, 13
4, 33, 11
8, 36, 13
4, 33, 15
8, 34, 13
6, 33, 11
7, 34, 13
6, 33, 11
6, 34, 10
5, 34, 13
7, 34, 14
9, 35, 16
9, 36, 14
8, 34, 10
6, 35, 14
6, 35, 14
7, 35, 12
8, 36, 14
6, 36, 14
4, 36, 14
5, 33, 11
4, 35, 13
7, 35, 14
6, 34, 13
7, 35, 13
7, 34, 12
6, 32, 11
6, 34, 15
4, 32, 12
7, 34, 11
7, 34, 13
6, 33, 12
7, 34, 12
8, 36, 14
8, 34, 13
8, 34, 13
5, 33, 12
8, 38, 15
8, 36, 14
6, 34, 14
8, 34, 13
5, 32, 12
8, 35, 12
6, 34, 14
8, 34, 12
7, 34, 13
7, 35, 13
7, 34, 13
5, 34, 13
4, 34, 13
3, 33, 10
7, 36, 12
5, 32, 13
8, 35, 13
4, 33, 8
5, 34, 14
8, 36, 13
7, 33, 13
6, 34, 13
5, 32, 12
6, 34, 13
8, 34, 12
5, 33, 13
5, 33, 14
7, 35, 12
8, 35, 13
6, 35, 12
5, 33, 12
5, 33, 12
8, 33, 14
7, 37, 12
8, 34, 12
6, 35, 14
8, 35, 13
6, 33, 13
7, 37, 14
8, 35, 13
8, 34, 12
7, 35, 15
4, 34, 11
5, 34, 12
5, 33, 12
7, 34, 14
6, 32, 12
7, 35, 13
4, 32, 11
8, 37, 14
6, 35, 14
9, 36, 15
8, 34, 15
9, 36, 14
8, 34, 13
7, 35, 14
6, 31, 11
5, 33, 12
6, 34, 14
7, 34, 14
5, 33, 12
5, 33, 12
4, 35, 10
4, 34, 13
7, 35, 12
6, 34, 13
5, 32, 12
6, 34, 13
7, 34, 13
5, 32, 12
6, 36, 12
6, 32, 12
7, 35, 12
6, 34, 13
7, 34, 12
5, 34, 12
8, 35, 13
6, 33, 13
6, 35, 14
8, 34, 12
6, 33, 13
5, 33, 13
