19, 14, 7
16, 11, 5
19, 13, 8
18, 12, 4
19, 13, 7
17, 12, 6
17, 12, 5
19, 13, 8
19, 14, 9
19, 12, 7
19, 12, 5
18, 12, 7
18, 13, 6
20, 14, 7
17, 11, 6
17, 11, 6
19, 12, 5
19, 13, 8
20, 13, 6
18, 12, 5
20, 13, 7
18, 12, 5
17, 11, 5
16, 11, 5
18, 13, 6
19, 12, 5
18, 12, 3
19, 13, 7
16, 12, 5
18, 13, 8
17, 12, 7
18, 14, 6
19, 14, 7
17, 11, 5
18, 12, 6
20, 14, 5
17, 11, 4
18, 13, 6
20, 14, 7
19, 12, 5
17, 11, 4
17, 12, 6
20, 14, 7
19, 14, 7
14, 11, 0
20, 13, 8
18, 12, 5
18, 12, 5
18, 13, 7
19, 14, 7
19, 13, 6
19, 12, 6
17, 11, 4
17, 12, 6
18, 12, 5
19, 11, 5
18, 13, 6
21, 15, 9
19, 10, 10
18, 12, 5
17, 12, 6
17, 11, 6
20, 12, 7
23, 13, 7
17, 10, 5
17, 11, 4
18, 12, 5
19, 13, 5
18, 11, 4
20, 13, 7
16, 11, 5
17, 12, 5
17, 12, 6
18, 13, 8
17, 11, 6
19, 13, 7
17, 11, 5
19, 13, 7
19, 13, 6
20, 14, 8
18, 14, 7
19, 14, 7
20, 14, 7
19, 13, 6
18, 13, 7
17, 11, 3
18, 12, 5
18, 12, 7
16, 12, 5
19, 13, 6
19, 14, 6
17, 11, 4
19, 14, 7
22, 14, 9
18, 12, 6
17, 15, 5
17, 12, 7
15, 11, 4
18, 13, 7
18, 14, 8
19, 14, 7
19, 14, 6
17, 14, 4
18, 14, 5
17, 11, 6
19, 13, 6
20, 14, 7
20, 14, 7
17, 12, 6
18, 11, 7
19, 13, 7
16, 12, 6
20, 13, 8
19, 11, 8
18, 12, 5
19, 14, 7
20, 13, 7
18, 11, 6
19, 12, 5
19, 11, 7
20, 13, 8
16, 13, 5
19, 14, 7
18, 13, 6
18, 12, 5
18, 12, 5
16, 11, 5
17, 11, 4
17, 11, 6
17, 12, 5
18, 11, 6
17, 12, 5
19, 13, 8
19, 14, 8
19, 13, 7
20, 14, 7
17, 12, 6
17, 12, 6
18, 8, 7
19, 13, 6
18, 12, 7
19, 11, 6
18, 13, 7
17, 11, 5
19, 13, 6
16, 14, 9
16, 11, 3
17, 12, 5
17, 11, 5
17, 11, 6
18, 12, 6
18, 13, 7
17, 11, 4
18, 12, 6
18, 13, 7
17, 11, 3
18, 13, 4
17, 11, 4
18, 12, 6
19, 12, 6
18, 11, 4
19, 13, 8
17, 12, 7
16, 11, 5
16, 11, 5
19, 14, 8
19, 13, 7
17, 11, 5
19, 11, 7
17, 11, 5
19, 13, 6
19, 12, 5
19, 13, 5
19, 13, 7
19, 13, 7
20, 14, 6
16, 14, 7
19, 14, 7
20, 14, 6
17, 10, 5
19, 12, 7
19, 13, 6
18, 10, 7
20, 14, 8
18, 13, 6
17, 12, 5
18, 12, 5
17, 12, 5
18, 13, 7
19, 13, 6
18, 12, 4
18, 13, 7
18, 12, 5
17, 12, 5
18, 12, 5
17, 12, 6
17, 13, 6
19, 12, 6
17, 11, 4
18, 14, 7
19, 13, 8
18, 12, 6
17, 11, 5
19, 13, 7
18, 12, 6
18, 14, 7
19, 14, 6
17, 11, 4
18, 13, 6
19, 13, 7
17, 12, 5
15, 11, 3
17, 13, 7
19, 13, 7
20, 14, 8
19, 12, 5
18, 11, 6
21, 13, 6
18, 13, 6
19, 12, 6
21, 12, 7
17, 10, 6
18, 13, 7
19, 13, 6
17, 12, 5
18, 13, 6
18, 13, 6
21, 14, 8
19, 13, 5
19, 13, 7
17, 11, 6
17, 12, 7
18, 10, 6
21, 14, 7
17, 12, 5
18, 13, 6
19, 11, 6
17, 7, 7
19, 13, 7
18, 12, 6
20, 13, 7
19, 13, 6
18, 13, 7
16, 11, 5
18, 13, 6
19, 13, 8
21, 15, 8
17, 10, 4
19, 13, 5
19, 12, 7
17, 11, 4
18, 12, 7
17, 11, 4
17, 12, 5
17, 11, 4
17, 11, 4
20, 14, 7
17, 13, 6
15, 13, 4
19, 14, 6
20, 15, 8
17, 12, 6
17, 14, 7
19, 13, 6
18, 12, 5
19, 14, 7
18, 11, 3
17, 10, 5
19, 12, 6
17, 11, 5
18, 12, 7
18, 12, 6
19, 12, 5
20, 14, 7
19, 13, 7
18, 13, 6
18, 13, 6
19, 14, 6
18, 12, 7
19, 12, 5
18, 12, 6
19, 14, 7
18, 13, 6
18, 12, 4
22, 14, 8
19, 13, 5
20, 13, 6
18, 13, 6
17, 12, 5
18, 12, 5
20, 13, 7
19, 13, 6
20, 13, 6
19, 14, 8
20, 14, 7
20, 13, 6
19, 13, 5
17, 12, 4
19, 13, 7
20, 14, 8
