0, 0, 0
51, 8, 9
55, 11, 14
54, 10, 10
52, 9, 11
53, 11, 10
51, 9, 10
54, 10, 13
52, 9, 10
52, 9, 9
50, 8, 8
48, 6, 7
54, 11, 10
49, 7, 7
52, 10, 9
51, 7, 8
52, 10, 10
52, 10, 10
52, 9, 7
50, 7, 7
54, 11, 10
53, 10, 11
52, 8, 9
51, 7, 7
51, 9, 10
53, 10, 9
52, 8, 8
53, 8, 8
53, 9, 8
50, 8, 8
51, 8, 7
52, 9, 10
50, 8, 9
54, 11, 10
51, 11, 10
52, 9, 10
52, 12, 10
49, 9, 8
51, 9, 9
52, 9, 9
50, 8, 6
53, 10, 10
53, 11, 10
51, 7, 10
58, 10, 12
53, 9, 9
51, 7, 8
52, 8, 9
53, 10, 9
50, 7, 8
49, 6, 7
53, 9, 8
52, 10, 10
53, 12, 10
51, 8, 10
50, 8, 9
55, 11, 11
49, 8, 8
52, 10, 10
53, 11, 11
51, 8, 8
52, 11, 11
52, 10, 9
53, 10, 9
51, 7, 7
54, 10, 10
51, 8, 8
53, 8, 11
52, 9, 10
53, 11, 11
52, 8, 9
53, 9, 10
51, 9, 11
52, 9, 10
52, 8, 9
50, 8, 9
51, 7, 8
51, 7, 8
50, 8, 9
51, 9, 9
51, 8, 7
52, 10, 10
52, 9, 8
53, 10, 10
51, 9, 7
52, 8, 8
51, 7, 8
52, 9, 10
54, 10, 11
50, 10, 7
50, 4, 11
52, 9, 11
51, 9, 10
53, 9, 10
52, 9, 10
53, 10, 9
53, 10, 10
51, 8, 9
53, 8, 8
51, 7, 11
55, 9, 10
51, 9, 9
54, 10, 10
51, 9, 10
52, 8, 8
51, 10, 10
51, 7, 8
53, 9, 12
52, 9, 11
52, 8, 8
51, 7, 8
53, 10, 10
52, 9, 8
51, 8, 9
51, 7, 8
50, 6, 7
53, 9, 9
52, 9, 9
52, 8, 8
51, 8, 9
58, 11, 12
52, 10, 10
51, 9, 9
52, 8, 7
52, 7, 8
52, 11, 10
51, 8, 9
50, 8, 8
53, 8, 10
53, 9, 8
51, 9, 10
52, 8, 9
52, 8, 8
52, 9, 11
51, 9, 10
50, 8, 8
52, 10, 10
52, 8, 9
53, 10, 9
52, 10, 10
49, 7, 7
52, 10, 10
52, 9, 10
49, 6, 7
49, 8, 8
50, 7, 8
52, 9, 10
52, 9, 8
50, 7, 9
53, 10, 9
54, 11, 11
52, 10, 10
52, 9, 8
50, 6, 7
52, 10, 10
52, 9, 8
50, 7, 7
51, 9, 9
49, 7, 7
52, 9, 8
54, 10, 10
50, 8, 8
53, 10, 10
51, 8, 8
53, 9, 9
53, 9, 9
51, 8, 8
53, 10, 7
51, 8, 9
51, 9, 12
52, 9, 10
54, 11, 10
52, 9, 10
51, 9, 10
52, 8, 9
51, 11, 8
51, 7, 8
53, 10, 12
49, 7, 8
52, 10, 9
49, 7, 8
51, 9, 10
51, 9, 11
47, 7, 8
48, 9, 8
52, 9, 10
52, 9, 10
53, 11, 10
54, 10, 11
53, 11, 11
52, 10, 11
51, 8, 10
51, 7, 8
50, 7, 10
52, 9, 10
53, 8, 10
50, 7, 7
53, 9, 9
51, 8, 9
50, 7, 8
